"","Image","Cell_1","Cell_2","Cell_3","Cell_4","Cell_5","BG","Cell_1_no_BG","Cell_2_no_BG","Cell_3_no_BG","Cell_4_no_BG","Cell_5_no_BG","Mean_int"
"1",1,66.286,43.918,69.04,49.199,53.886,16.45,49.836,27.468,52.59,32.749,37.436,40.0158
"2",2,47.273,43.386,60.124,40.204,39.817,7.13,40.143,36.256,52.994,33.074,32.687,39.0308
"3",4,39.82,34.591,46.98,48.567,37.429,22.522,17.298,12.069,24.458,26.045,14.907,18.9554
"4",5,50.459,56.322,63.948,64.684,50.168,14.118,36.341,42.204,49.83,50.566,36.05,42.9982
"5",6,80.074,76.085,73.599,56.194,79.061,15.151,64.923,60.934,58.448,41.043,63.91,57.8516
"6",7,71.352,56.699,67.971,51.279,57.192,18.501,52.851,38.198,49.47,32.778,38.691,42.3976
"7",8,NA,39.02,45.33,44.172,37.621,24.79,NA,14.23,20.54,19.382,12.831,16.74575
"8",9,83.418,60.446,64.221,57.763,58.399,21.086,62.332,39.36,43.135,36.677,37.313,43.7634
"9",10,57.215,60.542,49.812,39.674,51.577,20.426,36.789,40.116,29.386,19.248,31.151,31.338
"10",11,41.106,40.797,49.012,39.127,34.971,22.125,18.981,18.672,26.887,17.002,12.846,18.8776
"11",12,43.159,38.151,41.83,43.19,41.367,24.606,18.553,13.545,17.224,18.584,16.761,16.9334
"12",13,54.17,50.08,55.569,53.216,41.813,18.817,35.353,31.263,36.752,34.399,22.996,32.1526
"13",14,53.063,46.672,35.895,55.334,50.882,28.516,24.547,18.156,7.379,26.818,22.366,19.8532
"14",17,15.365,15.517,15.621,13.354,10.132,3.578,11.787,11.939,12.043,9.776,6.554,10.4198
"15",18,12.984,13.174,20.73,12.795,14.542,5.042,7.942,8.132,15.688,7.753,9.5,9.803
"16",19,16.935,30.323,29.919,26.252,26.364,6.087,10.848,24.236,23.832,20.165,20.277,19.8716
"17",20,22.519,23.38,18.255,18.956,20.644,6.087,16.432,17.293,12.168,12.869,14.557,14.6638
"18",21,17.93,10.786,11.359,17.389,11.408,9.117,8.813,1.669,2.242,8.272,2.291,4.6574
"19",22,17.809,22.426,13.141,25.378,23.786,3.486,14.323,18.94,9.655,21.892,20.3,17.022
"20",23,26.187,19.095,29.827,18.046,22.275,1.784,24.403,17.311,28.043,16.262,20.491,21.302
"21",24,35.221,32.581,28.789,30.456,27.456,2.324,32.897,30.257,26.465,28.132,25.132,28.5766
"22",25,20.505,21.792,28.359,17.833,27.69,3.419,17.086,18.373,24.94,14.414,24.271,19.8168
"23",26,22.308,25.763,24.125,16.584,21.91,2.958,19.35,22.805,21.167,13.626,18.952,19.18
"24",27,33.475,25.915,28.413,25.481,27.101,3.327,30.148,22.588,25.086,22.154,23.774,24.75
"25",28,18.83,21.828,25.326,19.521,20.546,2.177,16.653,19.651,23.149,17.344,18.369,19.0332
"26",29,24.383,21.415,23.106,19.813,17.341,2.136,22.247,19.279,20.97,17.677,15.205,19.0756
